GROUP_SET,GROUP_VALUE,TEAM_ID,TEAM_ABBREVIATION,MAX_GAME_DATE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,CFID,CFPARAMS
By Year,2015-16,1610612762,UTA,2016-04-13T00:00:00,80,38,42,0.475,17.3,2.4,5.5,0.438,0.6,1.6,0.383,0.7,1.0,0.695,0.7,3.0,3.7,0.7,0.8,0.3,0.2,0.2,1.4,1.0,6.1,-0.6,12.5,2,0,1,2,1,3,2,2,3,2,3,3,2,3,3,3,2,2,2,3,2,3,3,2,1,2,3,3,3,2,1,264,2015-16
By Year,2015-16,1610612756,PHX,2016-04-13T00:00:00,76,20,56,0.263,27.7,4.8,11.4,0.423,1.3,3.8,0.343,2.8,3.4,0.84,0.4,2.1,2.5,2.6,2.1,0.6,0.3,0.8,3.0,3.2,13.8,-4.9,21.1,3,0,2,2,1,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,264,2015-16
By Year,2015-16,1610612760,OKC,2016-04-12T00:00:00,57,44,13,0.772,12.2,2.0,4.9,0.41,0.6,1.9,0.324,0.3,0.4,0.792,0.2,1.3,1.5,1.9,0.8,0.6,0.1,0.2,1.4,0.5,5.0,-0.5,11.0,0,0,1,1,1,1,3,2,3,1,3,3,1,1,1,2,1,3,3,2,3,1,2,2,2,2,2,1,2,1,1,264,2015-16
By Year,2015-16,1610612764,WAS,2016-04-13T00:00:00,63,31,32,0.492,10.7,1.4,3.3,0.427,0.4,1.3,0.316,0.5,0.8,0.633,0.4,1.7,2.1,0.2,0.5,0.3,0.1,0.3,1.6,0.8,3.7,-0.7,7.4,0,0,2,2,1,3,3,3,3,1,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,264,2015-16
By Year,2015-16,1610612738,BOS,2016-04-11T00:00:00,39,24,15,0.615,8.0,0.7,2.7,0.274,0.2,0.7,0.222,0.2,0.3,0.8,0.6,1.0,1.6,0.9,0.5,0.2,0.0,0.1,0.6,0.4,1.8,-1.2,5.3,0,0,2,3,2,3,3,3,3,3,3,3,3,3,3,1,1,3,3,3,3,3,3,3,3,3,3,3,3,2,1,264,2015-16
By Year,2015-16,1610612749,MIL,2016-04-13T00:00:00,70,30,40,0.429,14.3,1.2,3.8,0.305,0.6,2.1,0.293,0.2,0.2,0.8,0.2,1.1,1.3,0.6,0.4,0.4,0.2,0.4,1.0,0.3,3.1,-2.1,7.0,0,0,1,1,1,3,1,3,2,3,3,1,3,2,2,1,1,1,1,3,1,2,2,1,1,2,3,3,3,1,1,264,2015-16
By Year,2015-16,1610612745,HOU,2015-11-06T00:00:00,3,1,2,0.333,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,-0.7,1.4,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,264,2015-16
By Year,2015-16,1610612752,NYK,2016-04-12T00:00:00,76,29,47,0.382,16.6,2.0,5.1,0.394,0.3,1.3,0.22,1.3,1.6,0.78,0.3,1.6,1.9,2.3,1.1,0.7,0.1,0.4,1.3,1.5,5.6,-2.2,12.6,0,0,1,1,1,2,2,3,2,3,3,3,3,2,2,2,2,2,2,2,2,3,1,1,3,2,3,2,3,3,1,264,2015-16
By Year,2015-16,1610612761,TOR,2016-04-13T00:00:00,27,19,8,0.704,8.5,1.3,3.0,0.45,0.2,0.5,0.385,1.0,1.3,0.743,0.3,1.1,1.4,1.1,0.6,0.3,0.1,0.3,0.3,0.8,3.8,0.5,7.8,0,0,1,1,1,1,3,3,3,2,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,264,2015-16
By Year,2017-18,1610612755,PHI,2017-12-28T00:00:00,33,14,19,0.424,36.2,7.1,14.0,0.508,0.0,0.3,0.0,2.6,4.8,0.538,2.0,6.7,8.7,7.6,3.9,1.9,0.8,0.8,2.7,4.6,16.8,0.9,42.9,18,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,264,2017-18
