DraftYr,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,IDs
2016-17,13,PHO,Georgios Papagiannis,,2,29,409,146,102,22,.554,.000,.857,14.1,5.0,3.5,0.8,0.6,.068,-2.4,0.0,1627834
2016-17,14,CHI,Denzel Valentine,Michigan State University,2,91,1945,615,329,158,.384,.373,.771,21.4,6.8,3.6,1.7,2.1,.052,-1.5,0.2,1627756
2016-17,15,DEN,Juan Hernangomez,,2,79,1049,361,228,37,.436,.385,.753,13.3,4.6,2.9,0.5,2.1,.098,-1.6,0.1,1627823
2016-17,16,BOS,Guerschon Yabusele,,1,15,76,29,23,5,.417,.438,1.000,5.1,1.9,1.5,0.3,0.2,.157,-0.1,0.0,1627824
2016-17,17,MEM,Wade Baldwin,Vanderbilt University,1,33,405,106,46,61,.313,.136,.838,12.3,3.2,1.4,1.8,-0.3,-.041,-5.7,-0.4,1627735
2016-17,18,DET,Henry Ellenson,Marquette University,2,33,247,109,69,13,.377,.321,.556,7.5,3.3,2.1,0.4,-0.2,-.040,-7.4,-0.3,1627740
2016-17,19,DEN,Malik Beasley,Florida State University,2,53,474,188,61,28,.427,.319,.714,8.9,3.5,1.2,0.5,0.3,.035,-5.0,-0.4,1627736
2016-17,20,IND,Caris LeVert,University of Michigan,2,91,2152,876,311,240,.449,.331,.701,23.6,9.6,3.4,2.6,2.9,.066,-0.7,0.7,1627747
2017-18,1,PHI,Markelle Fultz,University of Washington,1,4,76,24,9,7,.333,,.500,19.0,6.0,2.3,1.8,-0.1,-.091,-10.2,-0.2,1628365
2017-18,2,LAL,Lonzo Ball,"University of California, Los Angeles",1,31,1050,311,215,220,.349,.297,.480,33.9,10.0,6.9,7.1,0.6,.026,0.1,0.6,1628366
2017-18,3,BOS,Jayson Tatum,Duke University,1,39,1212,555,218,54,.512,.475,.830,31.1,14.2,5.6,1.4,4.8,.191,2.8,1.5,1628369
2017-18,4,PHO,Josh Jackson,University of Kansas,1,36,798,333,130,38,.383,.244,.561,22.2,9.3,3.6,1.1,-0.9,-.055,-5.9,-0.8,1628367
2017-18,5,SAC,De'Aaron Fox,University of Kentucky,1,29,729,273,81,108,.402,.289,.667,25.1,9.4,2.8,3.7,-0.8,-.052,-5.8,-0.7,1628368
2017-18,6,ORL,Jonathan Isaac,Florida State University,1,15,284,79,56,11,.405,.278,.778,18.9,5.3,3.7,0.7,0.1,.020,-2.9,-0.1,1628371
2017-18,7,MIN,Lauri Markkanen,University of Arizona,1,31,916,439,229,41,.401,.328,.819,29.5,14.2,7.4,1.3,1.1,.058,-2.3,-0.1,1628374
2017-18,8,NYK,Frank Ntilikina,,1,32,677,189,70,111,.363,.328,.719,21.2,5.9,2.2,3.5,0.1,.004,-2.1,0.0,1628373
2017-18,9,DAL,Dennis Smith,North Carolina State University,1,28,773,375,110,113,.387,.304,.661,27.6,13.4,3.9,4.0,-0.8,-.048,-3.4,-0.3,1628372
2017-18,10,SAC,Zach Collins,Gonzaga University,1,18,237,64,53,14,.377,.353,.429,13.2,3.6,2.9,0.8,0.0,.005,-3.9,-0.1,1628380
2017-18,11,CHO,Malik Monk,University of Kentucky,1,29,421,170,32,43,.346,.343,.706,14.5,5.9,1.1,1.5,0.0,-.005,-4.8,-0.3,1628370
2017-18,12,DET,Luke Kennard,Duke University,1,29,478,169,48,34,.405,.412,.765,16.5,5.8,1.7,1.2,0.4,.038,-2.9,-0.1,1628379
2017-18,13,DEN,Donovan Mitchell,University of Louisville,1,34,1037,607,108,114,.435,.357,.849,30.5,17.9,3.2,3.4,1.5,.068,0.5,0.7,1628378
2017-18,14,MIA,Bam Adebayo,University of Kentucky,1,25,496,173,122,26,.607,.000,.741,19.8,6.9,4.9,1.0,1.9,.182,2.1,0.5,1628389
2017-18,15,POR,Justin Jackson,University of North Carolina,1,25,450,138,46,16,.393,.318,.636,18.0,5.5,1.8,0.6,-0.2,-.023,-5.8,-0.4,1628382
2017-18,16,CHI,Justin Patton,Creighton University,,,,,,,,,,,,,,,,,,1628383
2017-18,17,MIL,D.J. Wilson,University of Michigan,1,12,46,8,6,2,.444,.000,,3.8,0.7,0.5,0.2,-0.1,-.057,-10.0,-0.1,1628391
2017-18,18,IND,T.J. Leaf,"University of California, Los Angeles",1,27,253,84,46,6,.455,.478,.429,9.4,3.1,1.7,0.2,0.4,.071,-4.0,-0.1,1628388
2017-18,19,ATL,John Collins,Wake Forest University,1,28,643,323,199,28,.617,.000,.710,23.0,11.5,7.1,1.0,2.3,.169,1.6,0.6,1628381
2017-18,20,POR,Harry Giles,Duke University,,,,,,,,,,,,,,,,,,1628385
