permno,date,nameendt,exchcd,ncusip,ticker,comnam,tsymbol,trdstat,secstat,permco,hsiccd,cusip,dlstcd,hsicmg,hsicig,acperm,accomp
84223,5/30/2003,,3,45814T10,INTD,INTELIDATA TECHNOLOGIES CORP,INTD,A,R,15126,7372,45814T10,,,,,
92454,7/29/2016,,3,45825N10,IQNT,INTELIQUENT INC,IQNT,A,R,52872,4813,45825N10,,,,,
87439,5/31/2007,,2,45817G10,IDN,INTELLI CHECK INC,IDN,A,R,36373,7372,45817G20,,,,,
87439,6/30/2009,,2,45817G10,IDN,INTELLI CHECK MOBILISA INC,IDN,A,R,36373,7372,45817G20,,,,,
16064,2/28/2017,,3,45826J10,NTLA,INTELLIA THERAPEUTICS INC,NTLA,A,R,55568,9999,45826J10,,,,,
11630,12/30/1988,,3,45815C10,INCL,INTELLICALL INC,INCL,A,R,9451,4813,45815C10,,,,,
89034,6/30/1986,,3,45815E10,ICRD,INTELLICARD INTERNATIONAL INC,ICRD,A,R,7348,3570,45815E10,,,,,
84310,12/31/1997,,3,45815F10,FONE,INTELLICELL CORP,FONE,A,R,15239,5060,34415P10,,,,,
87439,11/30/2017,,2,45817G20,IDN,INTELLICHECK INC,IDN,A,R,36373,7372,45817G20,,,,,
87439,12/31/2009,,2,45817G10,IDN,INTELLICHECK MOBILISA INC,IDN,A,R,36373,7372,45817G20,,,,,
44565,8/30/1985,,3,45815310,INAI,INTELLICORP,INAI,A,R,6704,7371,45815310,,,,,
44565,5/29/1992,,3,45815310,INAI,INTELLICORP INC,INAI,A,R,6704,7371,45815310,,,,,
44565,5/31/1984,,3,45815310,INAI,INTELLIGENETICS INC,INAI,A,R,6704,7371,45815310,,,,,
44573,4/30/1987,,3,45815420,IBCC,INTELLIGENT BUSINESS COMMUN,IBCC,A,R,7139,3570,45815420,,,,,
27204,11/30/2012,,0,45824F30,,INTELLIGENT COMM ENTERPRISE CORP,,X,X,5730,3841,68235H30,,,,,
44581,7/29/1983,,3,45815610,ICNT,INTELLIGENT COMMUNICATIONS NET,ICNT,A,R,2266,7370,45336520,,,,,
